rw,ioengine,iodepth,iops,bw_KBps,lat_us
randread,psync,1,5708.721521,22834,173.955701374
randread,libaio,1,5814.853086,23259,170.48344712
randread,libaio,32,86883.701938,347534,367.832200846
randread,io_uring,1,5739.171014,22956,172.755103544
randread,io_uring,32,78377.043716,313508,407.80251651500004
randread,mmap,1,37628.689522,150514,26.210278124000002
randwrite,psync,1,7568.590523,30274,130.66331125899998
randwrite,libaio,1,8193.946768,32775,120.543948414
randwrite,libaio,32,52571.61428,210286,608.107117692
randwrite,io_uring,1,6930.851152,27723,142.771984062
randwrite,io_uring,32,44112.511041,176450,724.6872703380001
randwrite,mmap,1,205.632864,822,4856.7818817570005
