rw,bs,iops,bw_KBps,lat_us
randread,4k,127102.816667,508411,7.533196246
randread,16k,84293.695105,1348699,11.504070970999999
randread,64k,37189.783333,2380146,26.452192821
randread,256k,11791.62014,3018654,84.10270486
randread,1m,3134.981084,3210220,317.48407153
randwrite,4k,106172.280462,424689,9.004520076
randwrite,16k,71858.302362,1149732,13.483982126999999
randwrite,64k,31513.458109,2016861,31.280259275
randwrite,256k,9997.00005,2559232,99.31091718
randwrite,1m,2603.706605,2666195,382.579929602
