rw,numjobs,iodepth,iops,bw_KBps,lat_us
randread,1,1,9349.127515,37396,105.39101235000001
randread,1,16,57369.960501,229479,196.277027478
randread,1,64,93988.466859,375953,400.48138074499997
randread,4,1,49739.837669,198959,79.589319037
randread,4,16,183315.611406,733262,325.172835016
randread,4,64,174749.475017,698997,1376.033157523
randread,8,1,95958.284029,383833,82.432674864
randread,8,16,156603.949671,626415,810.215346373
randread,8,64,150555.120407,602220,3393.106361373
randwrite,1,1,21146.680889,84586,46.425626524
randwrite,1,16,81597.540041,326390,192.568385686
randwrite,1,64,84641.489309,338565,749.778243246
randwrite,4,1,69846.185897,279384,56.364142458
randwrite,4,16,86053.931536,344215,740.7134732760001
randwrite,4,64,88355.456318,353421,2892.2808095769997
randwrite,8,1,81024.332928,324097,97.721136486
randwrite,8,16,87773.774208,351095,1453.162533424
randwrite,8,64,80131.251354,320525,6362.6867462889995
