rw,bs,iops,bw_KBps,lat_us
randread,4k,6594.956751,26379,150.471798814
randread,16k,5129.314511,82069,193.59956995299999
randread,64k,3993.416776,255578,248.915890839
randread,256k,2965.000583,759040,335.62847757500003
randread,1m,1776.420393,1819054,561.05918384
randwrite,4k,7940.484325,31761,124.746601404
randwrite,16k,7160.38066,114566,138.440611084
randwrite,64k,5680.105332,363526,174.785942702
randwrite,256k,3206.713221,820918,310.233369183
randwrite,1m,1182.563624,1210945,843.3361890780001
