rw,numjobs,iodepth,iops,bw_KBps,lat_us
randread,1,1,5613.356444,22453,176.68736834700002
randread,1,16,74198.280029,296793,215.156962926
randread,1,64,76402.659956,305610,837.166160919
randread,4,1,22925.901235,91703,172.906795655
randread,4,16,96020.832986,384083,665.2365336309999
randread,4,64,90514.615692,362058,2826.167567859
randread,8,1,38541.574307,154166,205.55802134100003
randread,8,16,88423.219226,353692,1445.930931868
randread,8,64,92503.374606,370013,5533.3524985429995
randwrite,1,1,9287.611873,37150,106.426840408
randwrite,1,16,53100.431659,212401,300.744384794
randwrite,1,64,53661.738971,214646,1191.9500903330002
randwrite,4,1,28384.643589,113538,139.35860541099998
randwrite,4,16,50524.107932,202096,1265.638811331
randwrite,4,64,49789.704363,199158,5140.451052315
randwrite,8,1,34373.227113,137492,230.528473472
randwrite,8,16,42835.955468,171343,2986.520468359
randwrite,8,64,50048.391128,200193,10228.675267572
