op_index,latency_us
100,3.56
200,0.86
300,0.94
400,0.89
500,1.04
600,0.92
700,0.93
800,0.99
900,0.94
1000,2.37
1100,0.88
1200,1.05
1300,3.68
1400,1.15
1500,1.14
1600,3.25
1700,0.96
1800,3.31
1900,1.21
2000,1.20
2100,2.84
2200,0.99
2300,1.88
2400,2.62
2500,1.01
2600,2.30
2700,2.15
2800,1.93
2900,4.55
3000,3.11
3100,4.73
3200,3.03
3300,38.80
3400,4.58
3500,8.60
3600,2.58
3700,2.89
3800,2.48
3900,1.22
4000,2.27
4100,2.58
4200,1.01
4300,3.35
4400,1.08
4500,1.04
4600,2.53
4700,1.07
4800,1.39
4900,2.58
5000,1.10
5100,1.03
5200,2.72
5300,2.39
5400,2.61
5500,2.37
5600,2.56
5700,4.99
5800,2.85
5900,12.17
6000,2.62
6100,11.69
6200,2.93
6300,1.05
6400,1.55
6500,2.43
6600,1.16
6700,1.88
6800,1.17
6900,1.17
7000,2.57
7100,0.97
7200,4.36
7300,3.98
7400,1.28
7500,2.55
7600,1.07
7700,1.60
7800,2.73
7900,3.02
8000,2.57
8100,2.65
8200,2.48
8300,2.30
8400,2.57
8500,2.28
8600,1.94
8700,1.36
8800,1.34
8900,1.45
9000,1.58
9100,1.32
9200,1.87
9300,1.20
9400,1.36
9500,1.23
9600,2.32
9700,1.31
9800,1.12
9900,1.46
10000,1.31
10100,1.17
10200,1.86
10300,1.77
10400,1.23
10500,1.18
10600,1.26
10700,1.30
10800,1.24
10900,1.29
11000,1.42
11100,1.74
11200,2.06
11300,1.42
11400,2.68
11500,2.69
11600,3.17
11700,1.29
11800,0.96
11900,1.01
12000,0.96
12100,0.96
12200,0.92
12300,1.00
12400,0.95
12500,0.97
12600,0.94
12700,1.01
12800,1.67
12900,1.40
13000,1.00
13100,2.35
13200,1.05
13300,1.08
13400,4.56
13500,0.99
13600,2.30
13700,1.20
13800,2.38
13900,3.73
14000,2.74
14100,2.35
14200,3.88
14300,2.71
14400,3.33
14500,5.03
14600,2.44
14700,2.94
14800,1.28
14900,1.23
15000,2.75
15100,1.03
15200,1.78
15300,1.23
15400,1.26
15500,2.85
15600,1.31
15700,1.46
15800,1.40
15900,1.53
16000,1.40
16100,3.06
16200,2.90
16300,3.65
16400,12.34
16500,4.81
16600,4.55
16700,6.03
16800,4.87
16900,4.86
17000,4.69
17100,2.46
17200,2.54
17300,2.04
17400,2.38
17500,2.30
17600,3.08
17700,2.43
17800,2.56
17900,2.29
18000,2.33
18100,2.59
18200,1.37
18300,1.31
18400,1.33
18500,1.31
18600,1.31
18700,1.09
18800,1.10
18900,1.05
19000,1.34
19100,1.22
19200,2.21
19300,2.50
19400,2.10
19500,1.31
19600,1.71
19700,1.78
19800,1.57
19900,2.03
20000,1.87
20100,1.42
20200,1.64
20300,1.59
20400,1.34
20500,1.53
20600,1.43
20700,1.30
20800,3.02
20900,1.18
21000,1.25
21100,3.97
21200,1.30
21300,3.68
21400,1.14
21500,1.86
21600,2.80
21700,1.12
21800,1.39
21900,2.35
22000,1.14
22100,2.62
22200,1.25
22300,1.07
22400,4.01
22500,2.81
22600,4.81
22700,2.74
22800,2.87
22900,6.52
23000,2.67
23100,11.64
23200,2.57
23300,2.96
23400,2.54
23500,3.33
23600,2.76
23700,3.08
23800,2.75
23900,2.53
24000,2.69
24100,2.34
24200,2.65
24300,2.74
24400,2.50
24500,2.48
24600,2.43
24700,5.24
24800,5.81
24900,5.08
25000,5.32
25100,5.52
25200,4.89
25300,5.29
25400,4.47
25500,4.66
25600,5.61
25700,2.06
25800,1.91
25900,1.93
26000,1.84
26100,1.98
26200,2.51
26300,2.03
26400,1.94
26500,2.95
26600,2.11
26700,2.10
26800,2.31
26900,1.62
27000,2.68
27100,2.00
27200,2.62
27300,4.85
27400,10.72
27500,4.81
27600,5.45
27700,4.57
27800,6.45
27900,4.08
28000,4.93
28100,1.89
28200,2.04
